name,category,age_bracket,focus_duration,play_mode,interest_fit,price
Weather Station #1,STEM,0-3 years,5-10 minutes,independent,animals and nature,89.69
Telescope for Kids #2,STEM,0-3 years,5-10 minutes,independent,animals and nature,30.14
Wind Tunnel Kit #3,STEM,6-9 years,15-30 minutes,social,animals and nature,56.66
Electronic Circuit Kit #4,STEM,9-12 years,5-10 minutes,independent,fantasy and adventure,53.6
Electronic Circuit Kit #5,STEM,3-6 years,30+ minutes,social,animals and nature,15.67
Weather Station #6,STEM,3-6 years,5-10 minutes,social,animals and nature,88.92
Telescope for Kids #7,STEM,3-6 years,30+ minutes,independent,fantasy and adventure,38.72
Eco Adventure Pack #8,STEM,9-12 years,30+ minutes,independent,fantasy and adventure,13
Junior Engineer Set #9,STEM,6-9 years,30+ minutes,independent,animals and nature,48.71
Junior Chemist Kit #10,STEM,6-9 years,15-30 minutes,social,creative arts and expression,29.09
Electronic Circuit Kit #11,STEM,6-9 years,30+ minutes,independent,fantasy and adventure,78.02
Telescope for Kids #12,STEM,6-9 years,15-30 minutes,social,creative arts and expression,118.8
Telescope for Kids #13,STEM,3-6 years,5-10 minutes,independent,animals and nature,99.51
Rube Goldberg Kit #14,STEM,6-9 years,5-10 minutes,social,animals and nature,80.38
Coding Robot #15,STEM,9-12 years,30+ minutes,independent,creative arts and expression,21.06
Telescope for Kids #16,STEM,6-9 years,30+ minutes,social,fantasy and adventure,50.93
Junior Engineer Set #17,STEM,9-12 years,15-30 minutes,social,animals and nature,91.91
Weather Station #18,STEM,3-6 years,5-10 minutes,social,fantasy and adventure,12.31
Coding Robot #19,STEM,6-9 years,15-30 minutes,social,fantasy and adventure,103.99
Microscope Kit #20,STEM,6-9 years,15-30 minutes,social,fantasy and adventure,44.12
Eco Science Explorer #21,STEM,6-9 years,15-30 minutes,social,fantasy and adventure,92.63
Wind Tunnel Kit #22,STEM,9-12 years,30+ minutes,social,fantasy and adventure,63.38
Crystal Growing Kit #23,STEM,3-6 years,15-30 minutes,independent,fantasy and adventure,42.28
Microscope Kit #24,STEM,3-6 years,5-10 minutes,social,animals and nature,11.66
Water Filtration Kit #25,STEM,9-12 years,15-30 minutes,social,animals and nature,117.47
Telescope for Kids #26,STEM,6-9 years,15-30 minutes,social,fantasy and adventure,23.99
Wind Tunnel Kit #27,STEM,9-12 years,30+ minutes,independent,fantasy and adventure,91.86
Crystal Growing Kit #28,STEM,6-9 years,15-30 minutes,social,creative arts and expression,108.46
Junior Chemist Kit #29,STEM,3-6 years,5-10 minutes,social,animals and nature,72.66
Junior Engineer Set #30,STEM,6-9 years,5-10 minutes,independent,animals and nature,12.75
Solar Robot Kit #31,STEM,9-12 years,15-30 minutes,independent,creative arts and expression,81.93
Crystal Growing Kit #32,STEM,6-9 years,30+ minutes,social,animals and nature,95.23
Geology Kit #33,STEM,3-6 years,5-10 minutes,social,creative arts and expression,53.71
